Country,Global category,Overview category,Sector,Subsector,Indicator ID,Value,Source,Indicator name
Colombia,Overview,Net-zero Target,,,nz_ship,Unclear or Undecided,Net_Zero,Includes International Shipping and Aviation
Colombia,Overview,Net-zero Target,,,nz_separate_net_gross,Separate Net and Gross Targets,Net_Zero,Includes Separate Targets for Gross and Net Reductions
Comoros,Overview,Net-zero Target,,,nz_status,In Policy Document,Net_Zero,Net-zero Target Status
Comoros,Overview,Net-zero Target,,,nz_year,Already achieved and commit to maintain,Net_Zero,Net-zero Target Year
Comoros,Overview,Net-zero Target,,,nz_source,"<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/CDN_r%C3%A9vis%C3%A9e_Comores_vf.pdf"">CONTRIBUTION DETERMINEE AU NIVEAU NATIONAL (CDN actualisée); Rapport de synthèse</a> (11/5/2021)",Net_Zero,Net-zero Target Source
Comoros,Overview,Net-zero Target,,,nz_ghg,All GHGs Covered,Net_Zero,Coverage of GHGs
Comoros,Overview,Net-zero Target,,,nz_sec,All sectors,Net_Zero,Coverage of Domestic Sectors
Comoros,Overview,Net-zero Target,,,nz_offset,Unclear or Undecided,Net_Zero,Includes International Offsets
Comoros,Overview,Net-zero Target,,,nz_ship,International Shipping and Aviation Not Included,Net_Zero,Includes International Shipping and Aviation
Comoros,Overview,Net-zero Target,,,nz_separate_net_gross,Net Target Only,Net_Zero,Includes Separate Targets for Gross and Net Reductions
Costa Rica,Overview,Net-zero Target,,,nz_status,In Policy Document,Net_Zero,Net-zero Target Status
Costa Rica,Overview,Net-zero Target,,,nz_year,2050,Net_Zero,Net-zero Target Year
Costa Rica,Overview,Net-zero Target,,,nz_source,"<a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Costa%20Rica%20First/Contribucio%CC%81n%20Nacionalmente%20Determinada%20de%20Costa%20Rica%202020%20-%20Versio%CC%81n%20Completa.pdf"">Costa Rica Updated First NDC</a> (12/28/2020); <a href=""https://unfccc.int/sites/default/files/resource/NationalDecarbonizationPlan.pdf"">Costa Rica's National Decarbonazation Plan</a> (12/12/2019)",Net_Zero,Net-zero Target Source
Costa Rica,Overview,Net-zero Target,,,nz_ghg,GHG Coverage Unclear or Undecided,Net_Zero,Coverage of GHGs
Costa Rica,Overview,Net-zero Target,,,nz_sec,All sectors,Net_Zero,Coverage of Domestic Sectors
